Manufacturer & Weapon Type ID,Manufacturer,Weapon Type,Part ID,Part Type,String,Stat
13,Daedalus,Assault Rifle,1,Body,DAD_AR.part_body,"No stat changes, always present"
13,Daedalus,Assault Rifle,2,Body Accessory,DAD_AR.part_body_a,-Reload Speed
13,Daedalus,Assault Rifle,3,Body Accessory,DAD_AR.part_body_b,-Reload Speed
13,Daedalus,Assault Rifle,4,Body Accessory,DAD_AR.part_body_c,+Accuracy
13,Daedalus,Assault Rifle,5,Body Accessory,DAD_AR.part_body_d,No Stat Changes
13,Daedalus,Assault Rifle,6,Barrel,DAD_AR.part_barrel_01,"Spec-Tec Barrel, 571 Damage, 78% Acc, 6.8/s Fire Rate"
13,Daedalus,Assault Rifle,7,Barrel,DAD_AR.part_barrel_02,"F.A.N.G. Barrel, 669 Damage, 84% Acc, 5.5/s Fire Rate"
13,Daedalus,Assault Rifle,8,Barrel,DAD_AR.part_barrel_unique_om,"Oscar Mike Barrel, 509 Damage, 76% Acc, 6.8/s Fire Rate"
13,Daedalus,Assault Rifle,9,Barrel Accessory,DAD_AR.part_barrel_01_a,+Damage
13,Daedalus,Assault Rifle,10,Barrel Accessory,DAD_AR.part_barrel_01_b,+Crit Damage
13,Daedalus,Assault Rifle,11,Barrel Accessory,DAD_AR.part_barrel_01_c,+Accuracy
13,Daedalus,Assault Rifle,12,Barrel Accessory,DAD_AR.part_barrel_01_d,+Accuracy
13,Daedalus,Assault Rifle,13,Barrel Accessory,DAD_AR.part_barrel_02_a,+Damage
13,Daedalus,Assault Rifle,14,Barrel Accessory,DAD_AR.part_barrel_02_b,+Accuracy
13,Daedalus,Assault Rifle,15,Barrel Accessory,DAD_AR.part_barrel_02_c,+Fire Rate
13,Daedalus,Assault Rifle,16,Barrel Accessory,DAD_AR.part_barrel_02_d,+Fire Rate
13,Daedalus,Assault Rifle,17,Manufacturer Part,DAD_AR.part_barrel_licensed_jak,+Crit Damage
13,Daedalus,Assault Rifle,18,Manufacturer Part,DAD_AR.part_barrel_licensed_ted,"Tediore Reload, no stat changes"
13,Daedalus,Assault Rifle,20,Manufacturer Part,DAD_AR.part_barrel_licensed_ted_shooting,"Tediore Shooting, no stat changes"
13,Daedalus,Assault Rifle,21,Manufacturer Part,DAD_AR.part_barrel_licensed_ted_mirv,"Tediore MIRV, no stat changes"
13,Daedalus,Assault Rifle,22,Manufacturer Part,DAD_AR.part_barrel_licensed_ted_combo,"Tediore Combo, no stat changes"
13,Daedalus,Assault Rifle,23,Manufacturer Part,DAD_AR.part_barrel_licensed_hyp,"Hyperion Shield visual accessory, no stat changes"
13,Daedalus,Assault Rifle,24,Magazine,DAD_AR.part_mag_01,"2.1s Reload, 28 shots"
13,Daedalus,Assault Rifle,25,Magazine,DAD_AR.part_mag_02,"2.6s Reload, 36 shots"
13,Daedalus,Assault Rifle,26,Magazine,DAD_AR.part_mag_03_tor,"2.0s Reload, +Damage, -Fire Rate, 20 shots, Torgue Mag"
13,Daedalus,Assault Rifle,27,Magazine,DAD_AR.part_mag_04_cov,"4.3s Reload, +Damage, -Acc, 50 shots to overheat, CoV Mag"
13,Daedalus,Assault Rifle,28,Magazine,DAD_AR.part_mag_05_borg,"3.0s Reload, +Damage, +Acc, +Fire Rate, 44 shots, Ripper Mag"
13,Daedalus,Assault Rifle,29,Manufacturer Part,DAD_AR.part_mag_torgue_normal,Torgue Impact Gyrojets
13,Daedalus,Assault Rifle,30,Stat Modifier,DAD_AR.part_mag_ted_thrown_01,2.0s Reload
13,Daedalus,Assault Rifle,31,Stat Modifier,DAD_AR.part_mag_ted_thrown_02,2.0s Reload
13,Daedalus,Assault Rifle,32,Manufacturer Part,DAD_AR.part_mag_torgue_sticky,Torgue Sticky Gyrojets
13,Daedalus,Assault Rifle,33,Stat Modifier,DAD_AR.part_mag_ted_thrown_03_tor,2.0s Reload
13,Daedalus,Assault Rifle,34,Stat Modifier,DAD_AR.part_mag_ted_thrown_04_cov,3.0s Reload
13,Daedalus,Assault Rifle,35,Stat Modifier,DAD_AR.part_mag_ted_thrown_05_bor,3.0s Reload
13,Daedalus,Assault Rifle,36,Body,DAD_AR.part_body_bolt,"No stat changes, always present"
13,Daedalus,Assault Rifle,37,Scope,DAD_AR.part_scope_02_lens_02,ADS ++++Zoom
13,Daedalus,Assault Rifle,38,Scope,DAD_AR.part_scope_02_lens_01,ADS +++Zoom
13,Daedalus,Assault Rifle,39,Scope,DAD_AR.part_scope_01_lens_02,ADS ++Zoom
13,Daedalus,Assault Rifle,40,Scope,DAD_AR.part_scope_01_lens_01,ADS +Zoom
13,Daedalus,Assault Rifle,41,Scope,DAD_AR.part_scope_ironsight,ADS
13,Daedalus,Assault Rifle,42,Scope Accessory,DAD_AR.part_scope_acc_s01_l01_a,+Fire Rate
13,Daedalus,Assault Rifle,43,Scope Accessory,DAD_AR.part_scope_acc_s01_l01_b,+Damage
13,Daedalus,Assault Rifle,44,Scope Accessory,DAD_AR.part_scope_acc_s01_l02_a,+Fire Rate
13,Daedalus,Assault Rifle,45,Scope Accessory,DAD_AR.part_scope_acc_s01_l02_b,+Damage
13,Daedalus,Assault Rifle,46,Scope Accessory,DAD_AR.part_scope_acc_s02_l01_a,No Stat Changes
13,Daedalus,Assault Rifle,47,Scope Accessory,DAD_AR.part_scope_acc_s02_l01_b,+Crit Damage
13,Daedalus,Assault Rifle,48,Scope Accessory,DAD_AR.part_scope_acc_s02_l02_a,No Stat Changes
13,Daedalus,Assault Rifle,49,Scope Accessory,DAD_AR.part_scope_acc_s02_l02_b,+Crit Damage
13,Daedalus,Assault Rifle,50,Grip,DAD_AR.part_grip_05c_ted_jav,"Tediore reload modifier: Javelin, no stat changes"
13,Daedalus,Assault Rifle,51,Grip,DAD_AR.part_grip_05a_ted_legs,"Tediore reload modifier: Legs, no stat changes"
13,Daedalus,Assault Rifle,52,Grip,DAD_AR.part_grip_05b_ted_homing,"Tediore reload modifier: Homing, no stat changes"
13,Daedalus,Assault Rifle,53,Grip,DAD_AR.part_grip_01,+Damage
13,Daedalus,Assault Rifle,54,Grip,DAD_AR.part_grip_02,+Fire Rate
13,Daedalus,Assault Rifle,55,Grip,DAD_AR.part_grip_03,-Reload Speed
13,Daedalus,Assault Rifle,56,Grip,DAD_AR.part_grip_04_hyp,"Hyperion Grip, -Acc, Acc increases with continuous fire"
13,Daedalus,Assault Rifle,57,Barrel,DAD_AR.part_barrel_02_lumberjack,"Bloody Lumberjack, 1227 Damage, 82% Acc, 4.0/s FR, 2 Shot"
13,Daedalus,Assault Rifle,58,Underbarrel,DAD_AR.part_underbarrel_04_atlas_ball,Atlas Tracker Grenades
13,Daedalus,Assault Rifle,59,Underbarrel,DAD_AR.part_underbarrel_04_atlas,Atlas Tracker Darts
13,Daedalus,Assault Rifle,60,Underbarrel,DAD_AR.part_underbarrel_06_malswitch,"Underbarrel switch, no effects"
13,Daedalus,Assault Rifle,61,Underbarrel,DAD_AR.part_underbarrel_02_shotgun,Alt Fire - Shotgun
13,Daedalus,Assault Rifle,62,Underbarrel,DAD_AR.part_underbarrel_03_microrocket,Alt Fire - Micro-Rocket POD
13,Daedalus,Assault Rifle,63,Underbarrel,DAD_AR.part_underbarrel_01_grenade,Alt Fire - Grenade Launcher
13,Daedalus,Assault Rifle,64,Foregrip,DAD_AR.part_foregrip_01,+Damage
13,Daedalus,Assault Rifle,65,Foregrip,DAD_AR.part_foregrip_02,+Fire Rate
13,Daedalus,Assault Rifle,66,Foregrip,DAD_AR.part_foregrip_03,+Accuracy
13,Daedalus,Assault Rifle,67,Underbarrel,DAD_AR.part_underbarrel_01_grenade_om,Fragcendiary Grenades
13,Daedalus,Assault Rifle,68,Manufacturer Part,DAD_AR.part_body_mag_ps,Daedalus Pistol Ammo
13,Daedalus,Assault Rifle,69,Manufacturer Part,DAD_AR.part_body_mag_smg,Daedalus SMG Ammo
13,Daedalus,Assault Rifle,70,Manufacturer Part,DAD_AR.part_body_mag_sg,Daedalus Shotgun Ammo
13,Daedalus,Assault Rifle,71,Manufacturer Part,DAD_AR.part_body_mag_sr,Daedalus SR Ammo
13,Daedalus,Assault Rifle,75,Underbarrel,DAD_AR.part_underbarrel_om_spacelaser,Space Laser
13,Daedalus,Assault Rifle,76,Underbarrel,DAD_AR.part_underbarrel_06_star_helix,Star Helix Underbarrel
13,Daedalus,Assault Rifle,77,Barrel,DAD_AR.part_barrel_02_star_helix,"Star Helix Barrel, 669 x 3 Damage, 78% Acc, 4.7/s Fire Rate"
13,Daedalus,Assault Rifle,78,Manufacturer Part,DAD_AR.part_shield_default,Hyperion Shield
13,Daedalus,Assault Rifle,79,Manufacturer Part,DAD_AR.part_shield_ricochet,Hyperion Ricochet Shield
13,Daedalus,Assault Rifle,80,Manufacturer Part,DAD_AR.part_shield_ammo,Hyperion Absorb Shield
13,Daedalus,Assault Rifle,81,Manufacturer Part,DAD_AR.part_shield_amp,Hyperion Amp Shield
2,Daedalus,Pistol,1,Barrel,DAD_PS.part_barrel_01_zipgun,"Zipper, 692 Damage, 75% Acc, 6.2/s FR"
2,Daedalus,Pistol,2,Body,DAD_PS.part_body,"No stat changes, always present"
2,Daedalus,Pistol,3,Body Accessory,DAD_PS.part_body_a,-Reload Speed
2,Daedalus,Pistol,4,Body Accessory,DAD_PS.part_body_b,-Reload Speed
2,Daedalus,Pistol,5,Body Accessory,DAD_PS.part_body_c,+Accuracy
2,Daedalus,Pistol,6,Body Accessory,DAD_PS.part_body_d,No Stat Changes
2,Daedalus,Pistol,7,Barrel,DAD_PS.part_barrel_01,"S23, 692 Damage, 75% Acc, 6.0/s FR"
2,Daedalus,Pistol,8,Barrel,DAD_PS.part_barrel_02,"Bonn-91, 714 Damage, 76% Acc, 5.8/s FR"
2,Daedalus,Pistol,9,Manufacturer Part,DAD_PS.part_shield_default,Hyperion Shield
2,Daedalus,Pistol,10,Manufacturer Part,DAD_PS.part_shield_ricochet,Hyperion Ricochet Shield
2,Daedalus,Pistol,11,Manufacturer Part,DAD_PS.part_shield_ammo,Hyperion Absorb Shield
2,Daedalus,Pistol,12,Manufacturer Part,DAD_PS.part_shield_amp,Hyperion Amp Shield
2,Daedalus,Pistol,13,Magazine,DAD_PS.part_mag_01,"2.0s Reload, +Damage, 16 Shots"
2,Daedalus,Pistol,14,Magazine,DAD_PS.part_mag_02,"2.7s Reload, +Damage, 20 Shots"
2,Daedalus,Pistol,15,Magazine,DAD_PS.part_mag_03_tor,"2.4s Reload, +Damage, +Acc, -Fire Rate, 12 Shots, Torgue"
2,Daedalus,Pistol,16,Magazine,DAD_PS.part_mag_04_cov,"3.5s Reload, +Damage, -Acc, 25 Shots, CoV Mag"
2,Daedalus,Pistol,17,Magazine,DAD_PS.part_mag_05_borg,"2.1s Reload, ++Fire Rate, 28 Shots, Ripper Mag"
2,Daedalus,Pistol,18,Manufacturer Part,DAD_PS.part_mag_torgue_normal,Torgue Impact Gyrojets
2,Daedalus,Pistol,19,Manufacturer Part,DAD_PS.part_mag_torgue_sticky,Torgue Sticky Gyrojets
2,Daedalus,Pistol,20,Stat Modifier,DAD_PS.part_mag_ted_thrown_01,2.0s Reload
2,Daedalus,Pistol,21,Stat Modifier,DAD_PS.part_mag_ted_thrown_02,2.0s Reload
2,Daedalus,Pistol,22,Stat Modifier,DAD_PS.part_mag_ted_thrown_03_tor,2.0s Reload
2,Daedalus,Pistol,23,Stat Modifier,DAD_PS.part_mag_ted_thrown_04_cov,3.0s Reload
2,Daedalus,Pistol,24,Stat Modifier,DAD_PS.part_mag_ted_thrown_05_bor,3.0s Reload
2,Daedalus,Pistol,25,Scope,DAD_PS.part_scope_ironsight,ADS
2,Daedalus,Pistol,26,Scope,DAD_PS.part_scope_01_lens_01,ADS
2,Daedalus,Pistol,27,Scope,DAD_PS.part_scope_01_lens_02,ADS +Zoom
2,Daedalus,Pistol,28,Scope,DAD_PS.part_scope_02_lens_01,ADS ++Zoom
2,Daedalus,Pistol,29,Scope,DAD_PS.part_scope_02_lens_02,ADS ++Zoom
2,Daedalus,Pistol,30,Scope Accessory,DAD_PS.part_scope_acc_s01_l01_a,+Damage
2,Daedalus,Pistol,31,Scope Accessory,DAD_PS.part_scope_acc_s01_l01_b,-Reload Speed
2,Daedalus,Pistol,32,Scope Accessory,DAD_PS.part_scope_acc_s02_l01_a,No Stat Changes
2,Daedalus,Pistol,33,Scope Accessory,DAD_PS.part_scope_acc_s02_l01_b,+Crit Damage
2,Daedalus,Pistol,34,Scope Accessory,DAD_PS.part_scope_acc_s01_l02_a,+Damage
2,Daedalus,Pistol,35,Scope Accessory,DAD_PS.part_scope_acc_s01_l02_b,-Reload Speed
2,Daedalus,Pistol,36,Scope Accessory,DAD_PS.part_scope_acc_s02_l02_a,No Stat Changes
2,Daedalus,Pistol,37,Scope Accessory,DAD_PS.part_scope_acc_s02_l02_b,+Crit Damage
2,Daedalus,Pistol,38,Grip,DAD_PS.part_grip_05c_ted_jav,"Tediore reload modifier: Javelin, no stat changes"
2,Daedalus,Pistol,39,Grip,DAD_PS.part_grip_05a_ted_legs,"Tediore reload modifier: Legs, no stat changes"
2,Daedalus,Pistol,40,Grip,DAD_PS.part_grip_05b_ted_homing,"Tediore reload modifier: Homing, no stat changes"
2,Daedalus,Pistol,41,Grip,DAD_PS.part_grip_04_hyp,"Hyperion Grip, -Acc, Acc increases with continuous fire"
2,Daedalus,Pistol,42,Grip,DAD_PS.part_grip_01,+Damage
2,Daedalus,Pistol,43,Grip,DAD_PS.part_grip_02,+Fire Rate
2,Daedalus,Pistol,44,Grip,DAD_PS.part_grip_03,-Reload Speed
2,Daedalus,Pistol,45,Underbarrel,DAD_PS.part_underbarrel_06_malswitch,"Underbarrel switch, no effects"
2,Daedalus,Pistol,46,Underbarrel,DAD_PS.part_underbarrel_04_atlas_ball,Atlas Tracker Grenades
2,Daedalus,Pistol,47,Underbarrel,DAD_PS.part_underbarrel_02_knifelauncher,Alt Fire - Tactical Knife Launcher
2,Daedalus,Pistol,48,Underbarrel,DAD_PS.part_underbarrel_01_taser,Alt Fire - Taser
2,Daedalus,Pistol,49,Foregrip,DAD_PS.part_foregrip_02,+Fire Rate
2,Daedalus,Pistol,50,Foregrip,DAD_PS.part_foregrip_03,+Accuracy
2,Daedalus,Pistol,51,Manufacturer Part,DAD_PS.part_body_mag_smg,Daedalus SMG Ammo
2,Daedalus,Pistol,52,Manufacturer Part,DAD_PS.part_body_mag_ar,Daedalus AR Ammo
2,Daedalus,Pistol,53,Manufacturer Part,DAD_PS.part_body_mag_sr,Daedalus SR Ammo
2,Daedalus,Pistol,57,Stat Modifier,DAD_PS.part_mag_05_borg_barrel_02,"1.8s Reload, -Damage, -Fire Rate"
2,Daedalus,Pistol,58,Stat Modifier,DAD_PS.part_mag_05_borg_barrel_01,"1.8s Reload, -Damage, -Fire Rate"
2,Daedalus,Pistol,60,Barrel Accessory,DAD_PS.part_barrel_01_a,+Damage
2,Daedalus,Pistol,61,Barrel Accessory,DAD_PS.part_barrel_01_b,+Accuracy
2,Daedalus,Pistol,62,Barrel Accessory,DAD_PS.part_barrel_01_c,+Fire Rate
2,Daedalus,Pistol,63,Barrel Accessory,DAD_PS.part_barrel_01_d,+Fire Rate
2,Daedalus,Pistol,64,Barrel Accessory,DAD_PS.part_barrel_02_a,+Damage
2,Daedalus,Pistol,65,Barrel Accessory,DAD_PS.part_barrel_02_b,+Crit Damage
2,Daedalus,Pistol,66,Barrel Accessory,DAD_PS.part_barrel_02_c,+Accuracy
2,Daedalus,Pistol,67,Barrel Accessory,DAD_PS.part_barrel_02_d,+Accuracy
2,Daedalus,Pistol,68,Manufacturer Part,DAD_PS.part_barrel_licensed_jak,Jakobs Ricochet
2,Daedalus,Pistol,69,Manufacturer Part,DAD_PS.part_barrel_licensed_ted,"Tediore Reload, no stat changes"
2,Daedalus,Pistol,70,Manufacturer Part,DAD_PS.part_barrel_licensed_ted_shooting,"Tediore Shooting, no stat changes"
2,Daedalus,Pistol,71,Manufacturer Part,DAD_PS.part_barrel_licensed_ted_mirv,"Tediore MIRV, no stat changes"
2,Daedalus,Pistol,72,Manufacturer Part,DAD_PS.part_barrel_licensed_ted_combo,"Tediore Combo, no stat changes"
2,Daedalus,Pistol,73,Manufacturer Part,DAD_PS.part_barrel_licensed_hyp,"Hyperion Shield visual accessory, no stat changes"
2,Daedalus,Pistol,74,Underbarrel,DAD_PS.part_underbarrel_04_atlas,Atlas Tracker Darts
2,Daedalus,Pistol,75,Underbarrel,DAD_PS.part_underbarrel_03_semtex,Alt Fire - Demolition Charge
2,Daedalus,Pistol,76,Foregrip,DAD_PS.part_foregrip_01,+Damage
2,Daedalus,Pistol,77,Manufacturer Part,DAD_PS.part_body_mag_sg,Daedalus Shotgun Ammo
2,Daedalus,Pistol,78,Barrel,DAD_PS.part_barrel_02_rangefinder,"Rangefinder, 812 Damage, 85% Acc, 5.5/s FR"
8,Daedalus,Shotgun,2,Body,DAD_SG.part_body,"No stat changes, always present"
8,Daedalus,Shotgun,3,Body Accessory,DAD_SG.part_body_a,-Reload Speed
8,Daedalus,Shotgun,4,Body Accessory,DAD_SG.part_body_b,-Reload Speed
8,Daedalus,Shotgun,5,Body Accessory,DAD_SG.part_body_c,+Accuracy
8,Daedalus,Shotgun,6,Body Accessory,DAD_SG.part_body_d,No Stat Changes
8,Daedalus,Shotgun,7,Barrel,DAD_SG.part_barrel_01,"Caliburn, 265 x 6 Damage, 55% Acc, 4.2/s FR"
8,Daedalus,Shotgun,8,Barrel,DAD_SG.part_barrel_02,"Durendal, 432 x 4 Damage, 65% Acc, 3.5/s FR"
8,Daedalus,Shotgun,9,Manufacturer Part,DAD_SG.part_shield_default,Hyperion Shield
8,Daedalus,Shotgun,10,Manufacturer Part,DAD_SG.part_shield_ricochet,Hyperion Ricochet Shield
8,Daedalus,Shotgun,11,Manufacturer Part,DAD_SG.part_shield_ammo,Hyperion Absorb Shield
8,Daedalus,Shotgun,12,Manufacturer Part,DAD_SG.part_shield_amp,Hyperion Amp Shield
8,Daedalus,Shotgun,13,Magazine,DAD_SG.part_mag_05_borg,"2.1s Reload, -Damage, +Fire Rate, 12 Shots, Ripper Mag"
8,Daedalus,Shotgun,14,Magazine,DAD_SG.part_mag_04_cov,"3.5s Reload, +Damage, -Acc, -Reload, 10 Shots, CoV Mag"
8,Daedalus,Shotgun,15,Magazine,DAD_SG.part_mag_03_tor,"2.2s Reload, +Damage, -Reload, -Fire Rate, 6 Shots, Torgue"
8,Daedalus,Shotgun,16,Magazine,DAD_SG.part_mag_01,"2.0s Reload, -Reload, 8 Shots"
8,Daedalus,Shotgun,17,Magazine,DAD_SG.part_mag_02,"2.4s Reload, -Damage, +Reload, 10 Shots"
8,Daedalus,Shotgun,18,Stat Modifier,DAD_SG.part_mag_ted_thrown_01,2.0s Reload
8,Daedalus,Shotgun,19,Stat Modifier,DAD_SG.part_mag_ted_thrown_02,2.0s Reload
8,Daedalus,Shotgun,20,Stat Modifier,DAD_SG.part_mag_ted_thrown_03_tor,2.0s Reload
8,Daedalus,Shotgun,21,Stat Modifier,DAD_SG.part_mag_ted_thrown_04_cov,3.0s Reload
8,Daedalus,Shotgun,22,Stat Modifier,DAD_SG.part_mag_ted_thrown_05_bor,3.0s Reload
8,Daedalus,Shotgun,23,Scope,DAD_SG.part_scope_ironsight,ADS
8,Daedalus,Shotgun,24,Scope,DAD_SG.part_scope_01_lens_01,ADS +Zoom
8,Daedalus,Shotgun,25,Scope,DAD_SG.part_scope_01_lens_02,ADS +Zoom
8,Daedalus,Shotgun,26,Scope,DAD_SG.part_scope_02_lens_01,ADS ++Zoom
8,Daedalus,Shotgun,27,Scope,DAD_SG.part_scope_02_lens_02,ADS +++Zoom
8,Daedalus,Shotgun,28,Scope Accessory,DAD_SG.part_scope_acc_s01_l01_a,+Damage
8,Daedalus,Shotgun,29,Scope Accessory,DAD_SG.part_scope_acc_s01_l01_b,-Reload Speed
8,Daedalus,Shotgun,30,Scope Accessory,DAD_SG.part_scope_acc_s02_l01_a,No Stat Changes
8,Daedalus,Shotgun,31,Scope Accessory,DAD_SG.part_scope_acc_s02_l01_b,+Crit Damage
8,Daedalus,Shotgun,32,Scope Accessory,DAD_SG.part_scope_acc_s01_l02_a,+Damage
8,Daedalus,Shotgun,33,Scope Accessory,DAD_SG.part_scope_acc_s01_l02_b,-Reload Speed
8,Daedalus,Shotgun,34,Scope Accessory,DAD_SG.part_scope_acc_s02_l02_a,No Stat Changes
8,Daedalus,Shotgun,35,Scope Accessory,DAD_SG.part_scope_acc_s02_l02_b,+Crit Damage
8,Daedalus,Shotgun,36,Grip,DAD_SG.part_grip_05a_ted_legs,"Tediore reload modifier: Legs, no stat changes"
8,Daedalus,Shotgun,37,Grip,DAD_SG.part_grip_05c_ted_jav,"Tediore reload modifier: Javelin, no stat changes"
8,Daedalus,Shotgun,38,Grip,DAD_SG.part_grip_05b_ted_homing,"Tediore reload modifier: Homing, no stat changes"
